书序,书名,作者,出版社（版本）,ISBN码,内容简介,阅读要点,阅读建议,grade,编号
12.0,海鸥乔纳森,【美】理查德·巴赫,北京十月文艺出版社/新经典,9787530218785.0,《海鸥乔纳森》是一部深具寓意的小说，讲述了一只名叫乔纳森的海鸥追求飞行梦想和自我超越的故事。乔纳森不满足于海鸥族群中仅仅为了生存而飞行的生活方式，他渴望探索更高更远的飞行境界。在不断的尝试和挑战中，乔纳森遭到族群的排斥，但他仍旧坚持自我，最终实现了自己的飞行梦想，并向其他海鸥传授他的飞行技巧和生活哲学。,"1、追求梦想与自我超越：理解乔纳森对飞行的热爱和追求，以及他为实现梦想所展现出的坚持和勇气。
2、独立思考与个人价值：思考乔纳森如何在面对族群传统和压力时，坚持自己的信念和选择，体会独立思考和坚持自我价值的重要性。
3、指导与分享：注意到乔纳森在达到一定飞行技巧后，选择返回教授其他海鸥飞行技巧，理解知识分享和帮助他人成长的意义。","1、激发想象与创新：在阅读过程中，想象自己是乔纳森，面对困难和挑战，你会怎样做？这有助于培养创新思维和解决问题的能力。
2、反思与讨论：和同伴或家人讨论乔纳森的故事给你带来的启示，尤其是关于如何坚持自己的梦想和价值的重要性。
3、写作练习：尝试写一篇小作文，描述一个你自己追求梦想的经历，或是创造一个新的故事角色，这个角色也像乔纳森一样追求自己的梦想。",五年级,
13.0,中国历史故事,汤芸畦,中国华侨出版社/果麦,9787511381507.0,《中国历史故事》是一本集合了中国历史上著名故事的书。这本书通过讲述历史人物和事件的故事，使读者能够了解中国古代到近代历史的变迁。本书内容涵盖了从上古时代到1917年北伐胜利的多个时期，包括四十个不同的主题，例如大禹治水、秦始皇统一六国等。,"1、历史人物和事件：关注书中描述的各个历史时期的重要人物和事件。
2、历史故事的教育意义：思考这些故事如何反映了历史的教训和中国文化的特色。
3、历史与现实的联系：理解历史事件如何影响了中国的发展，并与现代社会相联系。","1、深入理解：在阅读过程中，尝试深入理解每个故事的背景和历史意义。
2、思考与讨论：与同学、家人或老师讨论这些故事，分享你的看法和感受。
3、扩展阅读：阅读相关的历史书籍或资料，以获得更全面的历史知识。",五年级,
14.0,航海大发现,【美】亨德里克·威廉·房龙,江苏凤凰文艺出版社/浪花多多,9787559445100.0,《航海大发现》是由美籍荷兰裔历史地理学家亨德里克·威廉·房龙著作的一本书，旨在向儿童介绍航海历史。通过房龙亲手绘制的精美插图和简洁、通俗而有趣的语言，书中讲述了人类在历史上进行航海大发现、开拓世界的历程。从数千年前的远古时代到十六世纪的大航海时代，作者用60则简短的小故事串联起人类数千年来的航海史，以文学手法呈现了这段波澜壮阔的历史，旨在增强我们对历史的兴趣和探索未知的勇气​。,"1、历史探索：了解航海大发现的重要性以及它如何改变了世界。
2、人物故事：关注那些勇敢的探险者和他们冒险的故事。
3、文化认识：认识不同文化和地理环境对航海探索的影响。","1、绘制时间线：在阅读过程中，尝试绘制一个航海大发现的时间线，标注重要的发现和探险者。
2、角色扮演：选择一个你最感兴趣的探险者，进行角色扮演活动，模拟他们的航海旅程。
3、地图活动：使用地图查找书中提到的重要地理位置，了解这些地方的文化和历史背景。",五年级,
15.0,给孩子的小岛经济学,【西】劳拉·马斯卡罗,湖南少年儿童出版社/小博集,9787556263035.0,《给孩子的小岛经济学》是一本以小岛为背景，通过小岛居民的日常生活、交易、资源分配等故事，向小朋友们介绍经济学基本概念和原理的书。在这个小岛上，居民们通过种植水果、捕鱼、建造房屋等活动来交换所需的物品和服务。书中通过小岛居民面对的问题，如如何公平分配资源、如何通过贸易增加财富、以及如何做出最佳的经济决策等，引导我们理解经济学的基本思想，激发我们对经济活动的兴趣。,"1、基本经济概念：留意书中如何通过小岛的生活和活动来解释供需关系、贸易、资源分配等经济学基础知识。
2、问题解决与决策：注意小岛居民是如何面对资源有限、需求无限的挑战，通过做出决策来解决问题的。
3、经济学在日常生活中的应用：思考书中描述的经济学原理如何能够应用到你自己的生活中，比如如何合理安排零花钱。","1、结合生活实例思考：在阅读过程中，尝试将书中的经济学概念和原理与你自己的生活经验相联系，比如家里的家务分配、自己的零花钱管理等。
2、讨论与分享：和家人或同学分享阅读中的发现，讨论如果你们在一个荒岛上，会如何利用有限的资源。
3、经济小实验：试着在家里做一些小型的“经济实验”，如模拟市场交易、资源分配游戏，这样的活动可以让你直观地理解经济学原理。",五年级,
16.0,我会独立思考,【美】安德里亚·戴宾克,北京联合出版有限公司,9787559652898.0,《我会独立思考》是一本旨在培养读者批判性思维能力的书。通过一系列章节，书中介绍了批判性思维的重要性，如何提出问题、收集和评估证据、产生好奇心、并最终得出结论。这本书强调了独立思考在信息时代的重要性，鼓励我们通过实践批判性思维来提高自我成长。,"1、批判性思维的定义：理解批判性思维不仅仅是对事物进行批评，而是通过评估想法和事实来形成自己的观点和决定。
2、思考的过程：学会如何提出问题、收集和评估证据，这对于形成有根据的结论至关重要。3、好奇心的重要性：培养对未知事物的好奇心，这是驱动自我学习和探索的关键动力。","1、练习提问：在日常生活中对遇到的信息提出质疑，尝试自己寻找答案。
2、思考与讨论：和家人或朋友讨论书中的情境和角色的选择，分享自己的看法，这样可以锻炼你的语言表达能力和逻辑思维。
3、开展讨论：与同学、朋友或家人就书中的案例或自己感兴趣的话题进行讨论，这有助于深化对批判性思维过程的理解。",五年级,
17.0,波马的秘密,【美】杰瑞·史宾尼利,河北教育出版社/启发,9787543496057.0,《波马的秘密》是一本由杰瑞·史宾尼利著作的获得纽伯瑞大奖的少年小说。这本书讲述了小男孩波马成长的矛盾与痛苦。波马与鸽子的互动，展现了人性的高贵与对生命的尊重。这个故事不仅是关于成长的艰辛，也是关于勇气、友谊和自我发现的旅程。,"1、角色成长：注意波马如何面对和克服生活中的挑战，以及这个过程中他是如何成长的。
2、人性与道德：通过波马与鸽子的互动理解人性的高贵和对生命的尊重。
3、友谊的力量：探索波马在故事中建立的友谊，以及这些关系如何帮助他面对自己的恐惧。","1、思考与讨论：在阅读过程中，思考波马面临的道德决策和他如何解决这些问题。可以和同学、朋友或家人讨论这些话题。 
2、情感共鸣：尝试理解波马的感受，特别是他对成长和责任的恐惧，以及他如何克服这些恐惧。
3、创意写作：想象如果你是波马，你会如何处理这些情况。可以写一篇日记、信件或故事，描述你的想法和感受。",五年级,
18.0,洞,【美】路易斯·萨奇尔,南海出版公司/爱心树/新经典,9787544271585.0,《洞》是一部结合了幽默与冒险的儿童文学作品。这本书讲述了少年斯坦利因被误认为偷窃而被送往翠湖营改造的故事。翠湖营没有湖，那里的男孩们每天都要挖掘五英尺宽、五英尺深的洞，作为他们建立性格的方式。斯坦利很快意识到，营地的目的不仅仅是挖洞，营地的管理员似乎在寻找某些东西。这本书通过斯坦利和其他男孩们的经历，探讨了家族诅咒、友谊以及正义的主题。,"1、家族诅咒与命运：探索斯坦利家族诅咒的历史及其对主角命运的影响。
2、勇气与友谊：了解斯坦利在营地中如何与其他男孩建立友谊，以及他们如何共同面对困难和挑战。
3、正义与自我发现：随着故事的发展，思考正义的含义以及角色是如何通过自我发现来克服障碍的。","1、思考反思：在阅读过程中，思考你是否遇到过像斯坦利这样的困境，以及你是如何解决的。
2、角色扮演：选择书中的一个角色，想象自己处于他们的情境中，会如何行动。
3、深入讨论：与同学或家人讨论书中提出的主题，如正义、勇气和友谊等。",五年级,
19.0,小英雄雨来,管桦,南方出版社（无障碍阅读）,9787550154711.0,《小英雄雨来》通过雨来这个角色和他的朋友们，在抗日战争时期的背景下，展示了中国农村孩子的英勇、聪明和爱国情怀。雨来和伙伴们勇敢地与日军斗争，展现了他们的智慧和勇气。这本书不仅是关于战争的故事，更是一个关于成长、友谊和责任的故事。,"1、角色成长：关注雨来如何从一个普通的孩子成长为勇敢、机智的小英雄，以及这个过程中的心理变化。
2、友情与团结：留意书中描绘的友情和同伴间的团结合作，思考这些关系对抗击敌人有何帮助。
3、历史背景：理解抗日战争的历史背景，以及这段历史对人物行为和故事情节的影响。","1、深入讨论：在阅读过程中，和同学或家人讨论雨来的行为和决定，探讨你是否会做出同样的选择。
2、情感共鸣：尝试理解书中人物的情感，特别是在面对困难和选择时的感受，从而培养同理心。
3、历史联系：通过这本书了解抗日战争期间的中国，探索历史对当代生活的影响。",五年级,
20.0,汉字奇兵,张之路,新蕾出版社,9787530762318.0,《汉字奇兵》是一本由张之路撰写的儿童文学作品，讲述了中文系毕业生桑南在一次深夜奇遇中被变成小人儿，开启了一段探索汉字的奇妙冒险。这本书巧妙地将汉字文化与富有想象力的故事情节结合起来，引领我们进入一个充满神秘和学习的世界。,"1、汉字的奥秘：关注作者如何通过故事展示汉字的文化和历史价值。
2、想象与现实：留意故事中现实与想象的融合，以及这种结合如何影响主人公的冒险经历。
3、成长与探索：观察主人公在冒险中的成长，以及他如何通过挑战学习和成长。","1、文化探索：在阅读时，试着思考汉字不仅作为文字的功能，还作为文化传承的载体。
2、想象力发挥：尽情发挥自己的想象力，设想如果你处在主人公的位置，会有怎样的体验。
3、家庭互动：与家人一起阅读和讨论，特别是关于汉字的知识和故事中的冒险经历。",五年级,
1.0,我的宠物是恐龙,【美】奥利弗·巴特沃司,湖南少年儿童出版社,9787556202508.0,《我的宠物是恐龙》讲述了一个小男孩纳特和他的恐龙宠物之间的传奇经历。在美国新罕布什尔州的一个小镇上，纳特在鸡窝里发现了一个巨大的蛋，从中孵化出了一只恐龙。他给这只恐龙取名为“贝姥爷”，随着故事的发展，他和恐龙经历了许多特殊的时刻。这本书不仅充满幽默和想象力，也是对社会现实的深刻反思，引导我们理解爱、责任、金钱、权利、自由等重要价值。,"1、角色成长：关注小男孩纳特如何通过照顾恐龙“贝姥爷”，学会责任和勇气。
2、主题理解：思考书中展现的爱与自由的重要性，以及它们如何超越权力和金钱。
3、情节推理：在阅读过程中，留意故事情节的转折点，尝试预测接下来会发生什么，培养逻辑思维能力。","1、想象与创造：当你阅读到纳特和恐龙的冒险故事时，试着想象自己是故事中的一员，思考如果是你，你会怎么做。
2、深入讨论：和你的同学、朋友或家人一起讨论书中的各种主题，例如，为什么纳特那么坚持保护他的恐龙宠物。
3、角色日记：尝试以书中角色的身份写日记，表达他们在故事中的感受和经历，这有助于加深对角色的理解。",四年级,
2.0,绿野仙踪,【美】莱曼·弗兰克·鲍姆,江西人民出版社/果麦,9787210103677.0,《绿野仙踪》是由美国作家莱曼•弗兰克•鲍姆所著的一部经典儿童文学作品，首次出版于1900年。这个故事讲述了一个小女孩多萝茜和她的狗托托，因为一场龙卷风被带到了一个陌生的神奇国度。为了回到堪萨斯的家，多萝茜踏上了寻找奥兹大师的旅程，在旅途中，她结识了需要大脑的稻草人、渴望心脏的铁皮人和寻求勇气的胆小的狮子。他们一起经历了一系列的冒险，揭露了奥兹大师的真面目，最终揭示了勇气、爱心和智慧的真正含义。,"1、友谊与合作：留意多萝茜和她的伙伴们是如何相互帮助、共同面对挑战的，从中学习团队合作的重要性。
2、自我发现：思考故事中的角色是如何通过冒险找到自己真正所需的（稻草人的智慧、铁皮人的心脏、胆小的狮子的勇气），理解成长过程中自我发现的价值。
3、勇敢与智慧：关注多萝茜如何用智慧和勇气解决问题，认识到面对困难时勇敢和智慧的重要性。","1、友谊与合作：留意多萝茜和她的伙伴们是如何相互帮助、共同面对挑战的，从中学习团队合作的重要性。
2、自我发现：思考故事中的角色是如何通过冒险找到自己真正所需的（稻草人的智慧、铁皮人的心脏、胆小的狮子的勇气），理解成长过程中自我发现的价值。
3、勇敢与智慧：关注多萝茜如何用智慧和勇气解决问题，认识到面对困难时勇敢和智慧的重要性。",四年级,
3.0,中国古代神话,亲近母语,广西师范大学出版社,9787559810311.0,《中国古代神话》汇集了30余篇中国古代著名的神话传说，如《盘古开天辟地》《女娲造人》《燧人氏钻木取火》等，覆盖从世界的初始到战国时期的多个经典故事。通过这些故事，孩子们不仅能够了解古代人民对自然现象和社会生活的想象与解释，还能深入体会到蕴含在故事中的中华民族精神传承的密码：不畏艰难的勇气、永不放弃的精神和坚韧不拔的气魄。,"1、历史与文化：了解各种神话故事背后的文化意义和历史背景，加深对中国古代社会和人民生活的理解。
2、价值观：通过故事中展示的正面价值观，如勇敢、智慧、坚持等，学习和内化这些积极的品质。
3、想象力与创造力：神话故事充满了想象和奇思妙想，阅读的同时可以发挥自己的想象力，甚至尝试自己创作故事。","1、思考与讨论：在阅读后分享自己的感受和理解，与同学或家人讨论故事中的人物行为和故事情节，培养批判性思维和表达能力。
2、创作绘画：读完故事后，可以尝试绘制故事场景或人物，通过艺术创作进一步加深对故事的理解和记忆。
3、故事接龙：和你的朋友一起玩故事接龙的游戏，每个人根据《中国古代神话》中的一个故事来编织新的故事情节。这样不仅可以让你对书中的故事记忆更加深刻，还能锻炼你的想象力和创造力。",四年级,
4.0,民间文学里的中国：民间故事,周益民,人民文学出版社,9787020168101.0,《民间文学里的中国》是一套精选的民间文学作品集，共分为四卷：《母语的游戏》、《四大传说》、《民间故事》和《神话故事》。其中，《民间故事》卷收录了众多精彩故事，例如“范丹问佛”、“幸福鸟”、“张郎赛宝”等，这些故事不仅充满趣味，还深植于中国传统文化之中。本套书旨在通过这些鲜活原味的民间文学作品，引领读者深入中国文化的根源，促进对中国传统文化的理解与热爱。,"1、故事多样性：注意书中故事的多样性，包括机智的人物、奇特的遭遇以及生动的情节，这些都是中国民间文学的精髓。
2、文化元素：通过阅读，理解故事中的中国传统文化元素，如节令民俗、民间艺术等，增强对中国文化的认识和热爱。
3、品格教育：关注故事中体现的美好品格，如智慧、勇敢、善良等，思考这些品格在自己生活中的应用。","1、互动阅读：与家人或朋友一起分享读到的故事，讨论故事中的角色和情节，增加阅读的乐趣。
2、深入探索：对于书中提到的中国传统文化元素，可以通过网络或图书进一步探索，扩展知识面。
3、品德反思：在阅读故事后，思考故事中的品格对自己有何启示，如何将这些品格融入到日常生活中。",四年级,
5.0,疯狂的鹦鹉,【英】迪克·金-史密斯,江苏凤凰少年儿童出版社/爱心树,9787558416514.0,《疯狂的鹦鹉》这本书包含三个故事：《疯狂的鹦鹉》、《马丁猫的宠物鼠》和《小老鼠沃尔夫》。这些故事带我们进入了一系列动物主角的奇妙世界。在《疯狂的鹦鹉》中，一个名叫哈里的男孩意外得到了一只能说话的鹦鹉，它的出现给家庭带来了无尽的欢笑和惊喜。《马丁猫的宠物鼠》讲述了一只猫与它的宠物老鼠之间不同寻常的友情，以及它们之间发生的一系列温馨又有趣的故事。《小老鼠沃尔夫》是关于一只小老鼠对音乐的热爱，以及它如何用音乐改变自己和周围世界的故事。,"1、角色成长：关注故事中角色如何通过与动物的互动体验成长和变化。每个故事都展现了友情和勇气，引导你思考人与动物之间的深厚情感。
2、冲突与解决：留意故事中的主要冲突以及角色如何解决这些问题。这些故事教会我们面对挑战要具有智慧和勇气。
3、情感与价值：深入探索角色与动物之间的情感，以及它们如何影响彼此的生活，从中发现生活的真正价值。","1、情感共鸣：尝试从角色的角度感受故事，理解他们的情感和决策，培养同理心。
2、想象与创意：利用故事激发你的想象力，想象如果你是故事中的一员，你会做出怎样的选择。
3、深入讨论：与朋友或家人分享阅读体验，探讨故事中的主题和情节，增加阅读的互动性和深度。",四年级,
6.0,好心眼巨人,【英】罗尔德·达尔,明天出版社,9787533259556.0,《好心眼儿巨人》是一本充满想象力和温暖情感的故事书，讲述了一个名叫索菲的小女孩和一个友好的巨人之间的奇妙友谊。这个巨人不同于其他爱吃人的巨人，他有一颗善良的心，专门在夜晚将美好的梦境送给睡着的孩子们。索菲和这位好心眼巨人一起，展开了一场冒险，目标是阻止其他恶巨人伤害人类，他们之间的友情、勇气和智慧展现了人与人之间的深厚情谊和对正义的坚持。,"1、角色特点：关注索菲和好心眼巨人的性格特点及其发展，以及他们如何互相帮助和学习。
2、主题理解：通过故事，理解友谊、勇气、智慧和善良等主题在现实生活中的巨大价值和意义。
3、情节预测：在阅读过程中，思考和预测接下来可能发生的情节，增加阅读的趣味性和参与感。","1、想象与预测：在阅读故事时，试着想象如果你是故事中的一员，你会如何与好心眼巨人交朋友，以及你们会如何一起冒险。
2、情感共鸣：尝试从索菲的视角体验故事，感受和理解她与巨人之间的深厚友谊，思考真正的朋友在你生活中的重要性。
3、深入思考：故事结束后，反思故事中展示的善良和勇敢如何影响你自己的行为和思考。",四年级,
7.0,手斧男孩1：手斧,【美】盖瑞·伯森,接力出版社,9787544873833.0,《手斧男孩》讲述了一个13岁的少年布莱恩的生存故事。布莱恩乘坐的小型飞机在加拿大北部森林上空因飞行员心脏病发作而坠毁，他唯一的生存工具是他妈妈送给他的一把手斧。在接下来的54天里，布莱恩必须利用周围的自然资源生存下来，他学会了打猎、捕鱼、制火，还必须面对自然中的种种挑战，比如食物的短缺，以及可能会面临的熊、狼等野兽的袭击。在这一过程中，布莱恩不仅体验到了身体上的极限挑战，更是经历了一次心灵上的洗礼。,"1、生存技能：关注布莱恩如何利用手头有限的资源，尤其是手斧，来解决各种生存问题。
2、心理成长：留意布莱恩如何在极端环境中克服恐惧、孤独和绝望，逐渐成长为更坚强的个体。
3、与自然的关系：思考布莱恩如何学会与自然和谐共存，以及这种经历如何改变了他对生活的看法。","1、想象与模拟：在阅读的过程中，尝试想象自己处于布莱恩的情境中，思考你会如何解决面前的挑战。
2、情感共鸣：试着感受布莱恩在荒野中的孤独和恐惧，以及他取得每一次小胜利时的喜悦，通过这些情感体验去理解生存的意义。
3、深入探讨：讨论布莱恩的经历对你有何启示，特别是关于勇气、坚持和自我发现的主题。",四年级,
8.0,荒岛机器人,【美】彼得·布朗,接力出版社,9787544853415.0,《荒岛机器人》是一部充满想象力的儿童文学作品，讲述了一个名为萝丝的机器人的奇妙冒险。萝丝在一次船难后，被冲到了一个荒岛上。在这个荒岛上，她不仅需要学会如何生存，还逐渐学会了与岛上的动物交流，并与它们建立了深厚的友情。在一系列的探险和挑战中，萝丝展现了她对生命和自然的热爱，以及对友情的珍视。,"1、角色成长：关注萝丝如何从一个单纯的机器人变成能够理解友情和爱的“生物”，以及她是如何适应荒岛生活的。
2、友情与合作：思考萝丝与岛上动物之间建立的友情及其重要性，以及这些关系如何帮助他们共同解决问题。
3、关于人工智能的探索：在阅读过程，思考你对人工智能机器人已经知道的信息和你还想了解的内容。看看从书中是否能够找到你想要的答案。","1、想象与创造：在阅读过程中，试着想象自己身处萝丝的情境，思考如果是你，会如何解决遇到的各种问题。
2、情感共鸣：当萝丝和动物们经历各种冒险和挑战时，试着感受他们的情感，包括友情、恐惧、欢乐和悲伤，理解这些情感对角色的意义。
3、深入讨论：完成阅读后，可以与家人或同学讨论萝丝的行为对我们有什么启示，特别是关于勇气、友情和对自然的尊重。",四年级,
9.0,十万个为什么,【苏】米·伊林,南方出版社（无障碍阅读）,9787550146662.0,《十万个为什么》是一本探索日常生活中各种科学问题的科普书，由苏联著名科普作家米·伊林创作。这本书通过探索屋内的各个角落——从自来水龙头到衣柜——以及日常使用的物品，如水、火、土豆、肥皂泡等，回答了许多看似简单但实际上复杂的科学问题。书中的问题涵盖了自然科学、物理学、化学等多个领域，旨在激发读者的好奇心，引导他们探索科学的奥秘。,"1、科学探索：关注书中如何通过日常现象引出科学原理，比如水为什么能灭火，或者为什么炉子火旺时会呼呼作响。
2、生活常识：了解书中讨论的生活小知识，例如为什么用水洗涤，人为什么要喝水等。
3、思维启发：观察书中是如何唤醒你对周遭世界的好奇与探索欲望，激励你对生活中遇到的各种“为什么”提出疑问并追寻解答。","1、实践互动：在阅读的同时，尝试自己动手做一些书中的简单实验，如探究水和油的不同性质，或者观察不同物体的冷却速度。
2、提问记录：阅读过程中遇到有趣的问题时，可以自己记录下来，之后尝试自己寻找答案或与同学、老师讨论。
3、联想延伸：了解了书中的科学原理后，试着将这些知识应用到日常生活中，培养自己的观察力和思考力。",四年级,
10.0,丛林故事,【英】拉迪亚德·吉卜林,人民文学出版社/天天出版社,9787501608911.0,"《从林故事》是一部具有童话幻想色彩的动物小说。全书以蛮荒原野、丛林荆棘为背景，将迷人的童话境界、一幕幕的生死搏斗、绝妙的林蟒众生天衣无缝地组合在一起，塑造出憨厚的老熊、机敏的黑豹、不畏艰险的白海豹以及机智勇敢的“狼孩”莫戈里等诸多鲜明形象,向读者展现出一幅神秘壮阔的自然图卷，宣示勇气的珍贵，智慧的无价。","1、角色特点：关注莫戈里如何在动物的帮助下成长，以及他与狼群、巴鲁和巴希拉之间的友情如何影响他的冒险旅程。
2、主题理解：理解《丛林故事》中展现的勇气、友情、尊重自然和成长的主题，思考这些主题对你自己生活的意义。
3、丛林法则与和谐共存：故事展示了丛林中不同生物之间的相互依赖与和谐共存，以及丛林法则的重要性。","1、深入探索角色：本书对“狼孩”莫戈里和每个动物的描写都很生动，在阅读过程中，关注这些角色的性格和动机，理解他们行为背后的深层含义。
2、规则对比：梳理故事中的“丛林法则”，与人类社会的规则进行对比。
3、深入思考：在阅读完毕后，思考这个故事如何影响了你对友情、勇气和尊重自然的看法。",四年级,
11.0,我家没有英雄,【法】约·维特克,云南出版集团公司/晨光出版社/禹田,9787571510855.0,《我家没有英雄》讲述了十岁男孩莫里斯在两个世界中穿梭的故事：举止文明的学校世界和一贫如洗、嘈杂如闹市的家庭世界。他在朋友家看到“英雄”的照片墙后，开始意识到阶级差异，从而陷入自卑和寻找家中英雄的偏执中。最终，一场前往老家的旅程帮助他和解自我，重新定义了英雄的概念。,"1、环境对人的影响：探索莫里斯如何在文明的学校世界和混乱的家庭世界之间切换，这两种截然不同的环境如何塑造了他的性格和看法。
 2、理解英雄的多面性：通过莫里斯对“英雄”的寻找和认识过程，思考英雄的概念是如何随着经历和认识的深入而发生变化的。 
3、旅行与自我发现：反思家庭旅行对莫里斯个人成长的意义，以及这次旅行如何帮助他理解家庭和英雄的真正价值。","1、认识自我与成长：在阅读时，可以思考自己是否也像莫里斯一样，在不同的环境中表现出不同的自己，以及这些体验如何促进了个人成长。
2、理解不同的英雄观：思考书中所展示的英雄观与你自己的理解有何不同，英雄是否只存在于壮举中，还是平凡生活的每一个角落都能发现英雄的身影。
3、家庭的重要性：通过莫里斯一家的故事，感受家庭对个人成长的影响，以及家人在我们生命中的重要角色。",四年级,
12.0,总有一天会强大,【日本】伊藤未来,译林出版社,9787544796507.0,,,,四年级,
13.0,柳林风声,【英】肯尼斯·格雷厄姆,北京联合出版公司,9787559658517.0,《柳林风声》是英国作家肯尼斯·格雷厄姆的代表作，也是一本享誉世界的儿童文学经典。这本书通过四个拟人化的小动物——鼹鼠、河鼠、蟾蜍和獾——的冒险故事，展现了他们之间的友谊、忠诚以及勇敢的行为。这些角色共同经历了一系列既刺激又富有教育意义的冒险，最终一同保卫他们的家园。全书不仅充满想象力和趣味性，还细腻地呈现了美丽的田园风光，是英国散文体作品的典范，自1908年出版以来一直深受读者喜爱​。,"1、角色特点：注意四个主角的性格特点及其如何影响他们的冒险经历。例如，鼹鼠的好奇心、河鼠的热情好客、蟾蜍的冒失勇敢和獾的沉稳睿智。
2、友情与合作：通过阅读，理解这些动物之间的友情和合作是如何帮助他们克服困难，共同保护家园。
3、想象与创造：在冒险的过程中，想象自己是故事中的一个角色，考虑你会如何应对各种挑战。","1、细致观察：在阅读时，尝试描绘故事中的场景，感受角色的情感，让自己沉浸在故事中。
2、角色扮演：选择一个你最喜欢的角色，想象自己处于他们的冒险中，这样可以增加阅读的乐趣。
3、讨论与分享：与朋友或家人分享你对故事的看法，特别是关于友情和勇敢的主题，讨论可以增加你的理解和兴趣。",四年级,
14.0,森林报（春）秃鼻乌鸦从南方飞来了,【苏】维·比安基,二十一世纪出版社,9787539155845.0,,,,四年级,
15.0,十岁那年,【美】赖清河,云南出版集团公司/晨光出版社/禹田,9787541452000.0,《十岁那年》是一部由越南裔美国作家赖清河创作的儿童文学作品，讲述了一个越南小女孩在美国南部新环境中的心灵成长和蜕变故事。这部作品以其独特的写作手法和简洁纯净的语言，探讨了成长中的勇敢、梦想、以及面对新环境的挑战。作者通过主人公的故事，分享了自己对困境突破和心理变化的深刻思考。,"1、心灵成长与蜕变：关注主人公如何在全新的环境中寻找自我，克服困难，实现心灵上的成长和变化。
2、文化差异与适应：思考主人公从越南移民到美国所面临的文化冲突和适应过程，以及这些经历如何塑造她的人生观。
3、勇气与梦想：探索故事中展现的勇敢和追梦精神，以及如何在逆境中寻找希望和力量。","1、理解与同情：试着从主人公的角度理解移民孩子面对的挑战，培养对不同背景人群的同情心。
2、文化探索：通过主人公的故事，学习和了解不同的文化，增强对多元文化的认识和尊重。
3、自我反思：思考自己在遇到困难和挑战时的态度，从中学习如何更加坚强和自信地面对生活。",四年级,
16.0,天蓝色的彼岸,【英】亚历克斯·希勒,北京联合出版有限公司,9787559628435.0,《天蓝色的彼岸》是一本深情的儿童文学作品，讲述了小男孩哈里在一场车祸后进入另一个世界的故事。在他等待前往那片天蓝色的彼岸的同时，哈里心中始终牵挂着他的父母、姐姐、老师和同学们。在另一个世界，他遇到了名为阿瑟的幽灵，与他一同秘密返回人间，向他的亲人和朋友们道一声告别，并传达了他的歉意与爱。这本书用简洁、清新且温馨的语言，向读者传达了关爱与珍视生命的重要性，唤起了人们心底最温柔的情感。,"1、人性与爱的力量：关注书中如何展示即使面对死亡，爱与关怀依然是我们内心最强大的情感。
2、生命的意义与生死观：深入理解哈里的经历，思考生命的真正意义以及生与死的深层联系。
3、勇气与珍惜：通过哈里的故事，留意书中的情节和角色如何教会我们珍惜拥有的每一刻，以及如何勇敢地面对生活中的挑战和不可避免的告别。","1、深入反思：在阅读过程中，思考自己对生命、死亡的看法，以及对亲人的态度和行为。
2、情感共鸣：尝试从哈里的视角感受故事，理解他的感受和选择，从而加深对书中人性主题的理解。
3、探讨与分享：与家人或朋友讨论书中的主题和情感，分享你的感受和见解。",四年级,
17.0,哲学家写给孩子的二十封信,【荷】斯汀娜·彦森,上海文化出版社/浪花朵朵,9787553523620.0,《哲学家写给孩子的二十封信》是一本特别的书。在这本书里，荷兰哲学家斯汀娜·彦森回答了孩子们提出的二十个问题。这些问题覆盖了生活的各个方面，包括生命的意义、情绪的管理、科技的发展等等。斯汀娜用她的智慧和幽默回答了这些问题，带领我们一起探索哲学的世界。除了二十封信，书中还包含了十个哲学小课题，鼓励我们思考并与他人讨论，得出自己的答案。,《哲学家写给孩子的二十封信》是一本特别的书。在这本书里，荷兰哲学家斯汀娜·彦森回答了孩子们提出的二十个问题。这些问题覆盖了生活的各个方面，包括生命的意义、情绪的管理、科技的发展等等。斯汀娜用她的智慧和幽默回答了这些问题，带领我们一起探索哲学的世界。除了二十封信，书中还包含了十个哲学小课题，鼓励我们思考并与他人讨论，得出自己的答案。,"1、思考与分享：阅读每一封信后，思考作者的观点，与家人或朋友分享你的看法和感受，讨论可以有不同的观点。
2、写信给哲学家：尝试像书中的孩子们一样，写一封信给你最感兴趣的哲学家，提出你自己的问题。虽然无法得到回复，但这是一个让思考更深入的好方法。
3、日常生活中的哲学：在日常生活中寻找哲学问题，比如观察周围的事物，思考它们存在的意义等，用哲学的眼光看世界。",四年级,
